,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
3/27/18 20:26,-0.092983237,-1.048624194,-0.019200597,-0.001647354,-0.004660943,-0.004565588,0.001669618
3/27/18 20:29,-0.074866104,-0.6501281,-1.06135427,-0.003780303,0.000349298,-0.001036626,0.002912467
3/27/18 20:35,-0.129874515,-0.19668277,-1.385455372,0.005668992,0.001719934,0.002082025,0.00227416
3/27/18 20:36,-0.13459606,-0.082193155,-1.436923102,0.003530435,9.58019E-05,0.00058159,0.001180578
3/27/18 20:37,-0.132716211,0.042730243,-1.410403463,-0.003619802,-0.003361052,-0.002854361,-0.002420633
3/27/18 20:39,-0.090489268,0.297754234,-1.231219751,-0.003097527,-0.001385439,-0.006166895,0.002393544
3/27/18 20:43,-0.18205577,0.758981685,-0.290496277,0.00077982,0.003808911,0.001435547,0.008804505
3/27/18 20:44,-0.179159398,0.801802471,-0.090710687,0.001717407,0.003327251,0.00169481,0.009473762
3/27/18 20:47,-0.231666647,0.736765688,-0.135778693,0.003694599,0.0005084,0.002022302,0.007677066
3/27/18 20:48,-0.223722543,0.79983467,0.165621095,0.003026731,-0.002958748,0.00398663,0.007628374
3/27/18 20:49,-0.21849314,0.870754283,0.651399815,0.001607083,-0.004788089,0.00477681,0.005859628
3/27/18 20:50,-0.139234461,0.921899689,1.322554751,-0.001899062,-0.007489406,0.000800198,0.007145433
3/27/18 20:51,-0.129024014,0.655105903,1.306343504,-0.00253984,-0.008384895,-0.002511459,0.008311241
3/27/18 21:01,0.006077351,-0.736958755,0.174033201,0.007121077,0.005923101,0.010340894,0.014003876
3/27/18 21:02,0.002166253,-0.613896016,-0.18694693,0.005657819,0.002517207,0.009371265,0.012109578
3/27/18 21:03,-0.065633349,-0.594939752,-0.102830969,0.003329233,-0.002945525,0.00512905,0.00748231
3/27/18 21:04,-0.058518537,-0.598757183,-0.107038637,0.004799477,-0.003068281,0.004269109,0.007607875
3/27/18 21:06,0.004362159,-0.790038225,0.122794934,-0.001189506,-0.002548619,0.0045503,0.009095186
3/27/18 21:14,0.014990553,-0.337766005,0.186312687,0.005532934,0.007359973,0.000876861,0.013656625
3/27/18 21:16,-0.004310465,-0.313717164,0.13662289,0.00576035,0.007117057,0.001933533,0.010050935
3/27/18 21:17,-0.006062577,-0.328504172,0.148349962,0.005165647,0.00593347,0.000389558,0.010088977
3/27/18 21:18,0.01383517,-0.37174198,0.16061581,0.004879557,0.004896707,0.002493484,0.008411278
3/27/18 21:33,0.042566987,-0.244033619,-1.075784901,0.004511097,0.009135249,0.012125086,7.37115E-05
3/27/18 21:34,0.163819461,-0.057053647,-1.444930906,0.006014177,0.009981802,0.012186164,-0.000870214
3/27/18 21:35,0.166004058,-0.049495853,-1.460862947,0.008834399,0.008529578,0.01071955,-0.001523881
3/27/18 21:37,0.114571525,-0.010666587,-1.508704734,0.008600791,0.006727128,0.010417793,-0.002522899
3/27/18 21:38,0.101205537,-0.078349701,-1.509073974,0.004603385,0.004214649,0.005255931,-0.008362445
3/27/18 21:39,0.239162479,-0.166657618,-1.548191798,0.003943906,0.002067578,0.003955367,-0.008551234
3/27/18 22:35,0.031095792,-1.089305289,0.135880993,-0.001803452,0.002368571,0.007066818,0.014976001
3/27/18 22:38,-0.138199818,-0.782163761,-0.693068259,0.004642206,0.008279519,0.011644897,0.018051508
3/27/18 22:39,-0.220584421,-0.660163627,-0.957047913,0.004612612,0.005904887,0.010121271,0.017714435
3/27/18 22:40,-0.234648493,-0.534528018,-1.181271182,0.004179561,0.00759498,0.013774042,0.015722344
3/27/18 22:41,-0.300607628,-0.396211072,-1.346761397,0.003115283,0.00651326,0.013196362,0.013937019
3/27/18 22:42,-0.198644107,-0.264169822,-1.45430041,0.003290066,0.006100043,0.014840234,0.014427534
3/27/18 22:43,-0.190451202,-0.165639576,-1.514667981,0.003620507,0.006252965,0.014172259,0.013545268
3/27/18 22:44,-0.118731316,-0.095388615,-1.534728356,0.001286342,0.004310068,0.012297299,0.012376045
3/27/18 22:45,-0.093024155,-0.028511056,-1.534308255,0.003401203,0.004687145,0.011156109,0.012013629
3/27/18 22:46,-0.006507181,0.012150524,-1.530822363,0.003387424,0.004503639,0.008866145,0.012107025
3/27/18 22:47,0.027879015,0.09704746,-1.437990743,0.002800762,0.00484059,0.007483125,0.012374429
