,Pos_Change_Signal,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
2018-02-08 18:53:00,1,0.263769396,-1.076893757,0.979125881,0.00159708,0.001101732,-0.005324011,-0.024964378
2018-02-08 18:55:00,1,0.239138799,-0.759108247,0.684681798,0.000695161,-0.000766166,-0.006491369,-0.023098198
2018-02-08 18:58:00,1,0.167528316,-0.306842335,-0.885325284,-0.000494559,-0.006473752,-0.014179722,-0.026531396
2018-02-08 19:01:00,1,0.011796578,-0.301145859,-0.8054105,-0.003351839,-0.006605365,-0.011100085,-0.02806512
2018-02-08 19:03:00,1,-0.005741757,-0.402987426,-0.815245039,-0.005982152,-0.006418671,-0.00685519,-0.029597204
2018-02-08 19:04:00,1,0.019761175,-0.38526694,-0.720346879,-0.00378852,-0.004973394,-0.005493508,-0.032170228
2018-02-08 19:05:00,1,0.053133396,-0.395736926,-0.639366468,-0.005101633,-0.005729593,-0.005732671,-0.033583832
2018-02-08 19:06:00,1,-0.006212234,-0.284293286,-0.714013797,-0.003264468,-0.005561001,-0.006399591,-0.02940808
2018-02-08 19:48:00,-1,0.117329607,-0.343446037,-1.035380558,0.005911693,0.005898993,0.000130172,0.007937289
2018-02-08 19:51:00,-1,-0.050418612,-0.003733861,-1.330947313,0.00543235,0.001519574,-0.001244151,0.006347387
2018-02-08 19:52:00,-1,-0.038787069,0.115262831,-1.328557485,0.001563603,-0.002566967,-0.002285266,0.00623542
2018-02-08 19:54:00,-1,-0.053198215,0.374431971,-1.124178378,0.001484668,-0.006611639,-0.002703992,0.008639507
2018-02-08 19:55:00,-1,-0.046775785,0.467234471,-0.939892193,-0.002629598,-0.011491502,-0.006396065,0.00588904
2018-02-08 19:57:00,-1,0.041216883,0.601204623,-0.60981602,-0.004124122,-0.006083475,-0.002474473,0.010005214
2018-02-08 19:58:00,-1,-0.042140454,0.699579002,-0.314847293,-0.003642366,-0.005734991,-0.004854384,0.009247949
2018-02-08 20:02:00,-1,-0.068196533,0.582383505,0.182898761,-0.001967467,0.000282427,0.005039254,0.015117635
2018-02-08 20:05:00,-1,-0.018080541,-0.192738488,-0.443179876,0.002797158,0.005154672,0.009965274,0.018551085
2018-02-08 20:07:00,-1,-0.100750333,-0.123196569,-0.603136035,0.002254329,0.003631091,0.003484703,0.0173542
2018-02-08 20:10:00,-1,-0.043989131,0.23281721,-0.769876242,0.002350938,0.002128552,0.001134169,0.014934809
2018-02-08 20:12:00,-1,-0.04170844,0.316476363,-0.550323504,0.001373666,0.004755484,0.002512571,0.014456799
2018-02-08 20:13:00,-1,-0.047130701,0.297064257,-0.543481025,0.000136401,0.006077793,0.001100728,0.01354815
2018-02-08 20:15:00,-1,-0.093965381,0.03948928,-0.910972385,-0.000221864,0.004785933,0.000744831,0.01028817
2018-02-08 20:16:00,-1,-0.104727957,0.106956229,-0.737612084,0.001023396,-0.002344621,0.004492675,0.007265158
2018-02-08 20:19:00,-1,-0.006838602,0.292524429,-0.445328908,0.007292232,-0.000856417,0.004697606,0.008357868
2018-02-08 20:20:00,-1,-0.006301608,0.268814132,-0.371287889,0.005008908,-0.000992271,0.005509672,0.007887319
